No.,Gloss,FORM
766,2ᵃ persona plural estativa,*qa-d-...-ʔi
767,3ᵃ persona estativa,*Ø-d-
768,1ᵃ persona singular media,*i-n-
769,1ᵃ persona plural media,*i-n--...-ʔaqa
770,2ᵃ persona plural media,*ʔa-n-...-ʔi
771,2ᵃ persona plural media,*ʔa-n-...-ʔi
772,3ᵃ persona media,*Ø-n-
773,diátesis estativa,*d-
774,diátesis media,*n-
775,plural de 1ᵃ. persona,*-ʔaqa
776,plural de 2ᵃ. persona,*-ʔi
777,"intensivo, durativo",*-apeke
778,"repetitivo, continuativo",*-(tˀ)-aʔki
779,1ᵃ persona singular objeto indirecto,*-i
780,1ᵃ persona plural objeto indirecto,*-qo
781,2ᵃ persona singular objeto indirecto,*-qa
782,3ᵃ persona objeto indirecto,*-é
783,adesivo,*-lékʔe
784,alativo (+humano),*-ʔa
785,alativo (-humano),*-kʔe
786,benefactivo (alomorfo),*-ma
787,benefactivo (alomorfo),*-dom
788,comitativo,*-aqawa ~ *-ʔawa
789,dativo,*-waʔ
790,locativo,*-ˀgi
791,opositivo,*-ˀgetˀe
792,marcador de caso oblicuo,*ke
